# oldVersion,newVersion,#oldTables,#newTables,#oldAttrs,newAttr,tableIns,tableDel,attrIns,attrDel,attrTypeAlt,keyAlt,totalAlt
rev_001284.sql,rev_001307.sql,17,17,100,100,0,0,0,0,0,0,0
rev_001307.sql,rev_001308.sql,17,16,100,98,0,1,0,2,0,0,0
rev_001308.sql,rev_001589.sql,16,17,98,101,1,0,3,0,0,0,0
rev_001589.sql,rev_001640.sql,17,17,101,103,0,0,2,0,0,0,0
rev_001640.sql,rev_001695.sql,17,17,103,103,0,0,0,0,0,0,0
rev_001695.sql,rev_001911.sql,17,18,103,106,1,0,3,0,0,0,0
rev_001911.sql,rev_002190.sql,18,19,106,107,1,0,1,0,0,0,0
rev_002190.sql,rev_002294.sql,19,19,107,110,0,0,3,0,0,0,0
rev_002294.sql,rev_002473.sql,19,19,110,111,0,0,1,0,0,0,0
rev_002473.sql,rev_002493.sql,19,19,111,111,0,0,0,0,0,0,0
rev_002493.sql,rev_002685.sql,19,19,111,111,0,0,0,0,0,0,0
rev_002685.sql,rev_002687.sql,19,19,111,110,0,0,0,1,2,0,2
rev_002687.sql,rev_002830.sql,19,19,110,110,0,0,0,0,0,0,0
rev_002830.sql,rev_003204.sql,19,19,110,111,0,0,1,0,0,0,0
rev_003204.sql,rev_003513.sql,19,20,111,115,1,0,4,0,0,0,0
rev_003513.sql,rev_003516.sql,20,21,115,118,1,0,3,0,0,0,0
rev_003516.sql,rev_003582.sql,21,22,118,122,1,0,4,0,0,0,0
rev_003582.sql,rev_003626.sql,22,22,122,122,0,0,0,0,0,0,0
rev_003626.sql,rev_004073.sql,22,22,122,123,0,0,1,0,0,0,0
rev_004073.sql,rev_004083.sql,22,23,123,125,1,0,2,0,0,0,0
rev_004083.sql,rev_004139.sql,23,23,125,125,0,0,0,0,0,0,0
rev_004139.sql,rev_004318.sql,23,23,125,125,0,0,0,0,0,0,0
rev_004318.sql,rev_004321.sql,23,24,125,130,1,0,5,0,0,0,0
rev_004321.sql,rev_004332.sql,24,24,130,131,0,0,1,0,0,0,0
rev_004332.sql,rev_004570.sql,24,24,131,132,0,0,1,0,0,0,0
rev_004570.sql,rev_004571.sql,24,24,132,132,0,0,0,0,0,1,1
rev_004571.sql,rev_004619.sql,24,24,132,133,0,0,1,0,0,0,0
rev_004619.sql,rev_004919.sql,24,25,133,140,1,0,7,0,0,0,0
rev_004919.sql,rev_004925.sql,25,26,140,141,1,0,2,2,0,0,0
rev_004925.sql,rev_005210.sql,26,26,141,141,0,0,0,0,0,5,5
rev_005210.sql,rev_005532.sql,26,26,141,142,0,0,1,0,0,0,0
rev_005532.sql,rev_005541.sql,26,26,142,141,0,0,1,4,0,0,0
rev_005541.sql,rev_005552.sql,26,26,141,142,0,0,2,2,0,0,0
rev_005552.sql,rev_005648.sql,26,28,142,147,2,0,5,0,0,0,0
rev_005648.sql,rev_006057.sql,28,28,147,147,0,0,4,5,0,0,0
rev_006057.sql,rev_006058.sql,28,28,147,147,0,0,3,6,0,0,0
rev_006058.sql,rev_006069.sql,28,28,147,147,0,0,0,0,0,0,0
rev_006069.sql,rev_006072.sql,28,28,147,148,0,0,1,0,0,0,0
rev_006072.sql,rev_006445.sql,28,28,148,148,0,0,0,0,0,0,0
rev_006445.sql,rev_006696.sql,28,27,148,148,0,1,2,2,0,0,0
rev_006696.sql,rev_006710.sql,27,28,148,142,3,2,21,27,0,0,0
rev_006710.sql,rev_007055.sql,28,28,142,143,0,0,1,0,0,0,0
rev_007055.sql,rev_007467.sql,28,28,143,143,0,0,0,0,0,0,0
rev_007467.sql,rev_007515.sql,28,28,143,142,0,0,0,2,0,0,0
rev_007515.sql,rev_007649.sql,28,28,142,143,0,0,1,0,0,0,0
rev_007649.sql,rev_007653.sql,28,28,143,144,0,0,1,0,0,0,0
rev_007653.sql,rev_007755.sql,28,28,144,144,0,0,2,4,1,0,1
rev_007755.sql,rev_007964.sql,28,28,144,145,0,0,1,0,0,0,0
rev_007964.sql,rev_008007.sql,28,28,145,146,0,0,1,0,0,0,0
rev_008007.sql,rev_008230.sql,28,28,146,154,0,0,8,0,0,0,0
rev_008230.sql,rev_008516.sql,28,28,154,155,0,0,1,0,0,0,0
rev_008516.sql,rev_008643.sql,28,28,155,158,0,0,3,0,0,0,0
rev_008643.sql,rev_008772.sql,28,28,158,159,0,0,1,0,0,0,0
rev_008772.sql,rev_008792.sql,28,28,159,158,0,0,0,2,0,0,0
rev_008792.sql,rev_008793.sql,28,27,158,156,0,1,0,2,0,0,0
rev_008793.sql,rev_008794.sql,27,27,156,156,0,0,0,0,0,0,0
rev_008794.sql,rev_008798.sql,27,27,156,156,0,0,0,0,6,0,6
rev_008798.sql,rev_008818.sql,27,27,156,156,0,0,0,0,0,0,0
rev_008818.sql,rev_009042.sql,27,27,156,156,1,1,4,4,0,0,0
rev_009042.sql,rev_009116.sql,27,27,156,157,0,0,3,4,0,0,0
rev_009116.sql,rev_009199.sql,27,28,157,160,1,0,3,0,0,0,0
rev_009199.sql,rev_009268.sql,28,26,160,156,0,2,0,4,0,0,0
rev_009268.sql,rev_009276.sql,26,25,156,154,0,1,0,2,0,0,0
rev_009276.sql,rev_009335.sql,25,25,154,154,0,0,0,0,0,0,0
rev_009335.sql,rev_009367.sql,25,23,154,148,0,2,0,6,1,0,1
rev_009367.sql,rev_009399.sql,23,23,148,148,0,0,0,0,1,0,1
rev_009399.sql,rev_009469.sql,23,23,148,151,0,0,3,0,0,0,0
rev_009469.sql,rev_009474.sql,23,23,151,151,0,0,0,0,0,0,0
rev_009474.sql,rev_009536.sql,23,23,151,152,0,0,1,0,0,0,0
rev_009536.sql,rev_009636.sql,23,23,152,152,0,0,0,0,2,0,2
rev_009636.sql,rev_009649.sql,23,24,152,154,1,0,2,0,0,0,0
rev_009649.sql,rev_009915.sql,24,24,154,155,0,0,1,0,0,0,0
rev_009915.sql,rev_010000.sql,24,24,155,155,0,0,0,0,0,0,0
rev_010000.sql,rev_010252.sql,24,25,155,160,1,0,5,0,0,0,0
rev_010252.sql,rev_010255.sql,25,25,160,161,0,0,1,0,1,0,1
rev_010255.sql,rev_010484.sql,25,25,161,161,0,0,0,0,0,0,0
rev_010484.sql,rev_010579.sql,25,25,161,161,0,0,0,0,0,0,0
rev_010579.sql,rev_011002.sql,25,25,161,161,0,0,0,0,0,0,0
rev_011002.sql,rev_011357.sql,25,25,161,161,0,0,0,0,0,0,0
